date,period,value
2020-04-30,2020-03-31,20876488.35
2020-08-14,2020-06-30,59569931.46
2020-10-30,2020-09-30,78944021.06
2021-04-01,2020-12-31,36384414.68
2021-04-29,2021-03-31,11054274.55
2021-08-13,2021-06-30,17691869.56
2021-10-28,2021-09-30,38650188.46
2022-03-31,2021-12-31,44626842.43
2022-04-29,2022-03-31,4617300.34
2022-08-12,2022-06-30,17982104.34
2022-10-28,2022-09-30,26727266.79
2023-03-31,2022-12-31,67282320.16
2023-04-28,2023-03-31,17424504.52
2023-08-31,2023-06-30,25737032.68
2023-10-31,2023-09-30,32244542.06
2024-04-26,2023-12-31,63866449.15
2024-04-30,2024-03-31,14548472.57
2024-08-15,2024-06-30,19794027.53
2024-10-31,2024-09-30,32107963.5
2025-03-29,2024-12-31,88609075.65
2025-04-30,2025-03-31,36844877.23
2025-08-15,2025-06-30,53732080.39
2025-10-31,2025-09-30,86383526.55
2026-03-28,2025-12-31,130070254.54
